"LETO";"MESEC ROJSTVA";Živorojeni
"2009";"Januar";1879
"2009";"Februar";1538
"2009";"Marec";1767
"2009";"April";1744
"2009";"Maj";1907
"2009";"Junij";1847
"2009";"Julij";2027
"2009";"Avgust";1892
"2009";"September";1902
"2009";"Oktober";1874
"2009";"November";1676
"2009";"December";1803
"2010";"Januar";1876
"2010";"Februar";1712
"2010";"Marec";1898
"2010";"April";1775
"2010";"Maj";1863
"2010";"Junij";1844
"2010";"Julij";1991
"2010";"Avgust";1907
"2010";"September";1979
"2010";"Oktober";1958
"2010";"November";1759
"2010";"December";1781
"2011";"Januar";1868
"2011";"Februar";1603
"2011";"Marec";1815
"2011";"April";1790
"2011";"Maj";1829
"2011";"Junij";1794
"2011";"Julij";2013
"2011";"Avgust";2027
"2011";"September";1932
"2011";"Oktober";1780
"2011";"November";1785
"2011";"December";1711
"2012";"Januar";1852
"2012";"Februar";1670
"2012";"Marec";1704
"2012";"April";1791
"2012";"Maj";1903
"2012";"Junij";1758
"2012";"Julij";1945
"2012";"Avgust";1979
"2012";"September";1967
"2012";"Oktober";1936
"2012";"November";1770
"2012";"December";1663
"2013";"Januar";1727
"2013";"Februar";1495
"2013";"Marec";1730
"2013";"April";1623
"2013";"Maj";1841
"2013";"Junij";1752
"2013";"Julij";1957
"2013";"Avgust";1920
"2013";"September";1897
"2013";"Oktober";1877
"2013";"November";1672
"2013";"December";1620
"2014";"Januar";1760
"2014";"Februar";1532
"2014";"Marec";1701
"2014";"April";1794
"2014";"Maj";1806
"2014";"Junij";1767
"2014";"Julij";1954
"2014";"Avgust";1934
"2014";"September";1845
"2014";"Oktober";1853
"2014";"November";1588
"2014";"December";1631
"2015";"Januar";1729
"2015";"Februar";1560
"2015";"Marec";1599
"2015";"April";1662
"2015";"Maj";1826
"2015";"Junij";1802
"2015";"Julij";1910
"2015";"Avgust";1820
"2015";"September";1807
"2015";"Oktober";1759
"2015";"November";1608
"2015";"December";1559
"2016";"Januar";1702
"2016";"Februar";1529
"2016";"Marec";1684
"2016";"April";1630
"2016";"Maj";1716
"2016";"Junij";1710
"2016";"Julij";1898
"2016";"Avgust";1862
"2016";"September";1852
"2016";"Oktober";1676
"2016";"November";1545
"2016";"December";1541
"2017";"Januar";1626
"2017";"Februar";1503
"2017";"Marec";1639
"2017";"April";1628
"2017";"Maj";1733
"2017";"Junij";1751
"2017";"Julij";1884
"2017";"Avgust";1893
"2017";"September";1765
"2017";"Oktober";1753
"2017";"November";1548
"2017";"December";1518
"2018";"Januar";1628
"2018";"Februar";1464
"2018";"Marec";1611
"2018";"April";1525
"2018";"Maj";1680
"2018";"Junij";1680
"2018";"Julij";1811
"2018";"Avgust";1774
"2018";"September";1690
"2018";"Oktober";1671
"2018";"November";1560
"2018";"December";1491
