"","drzava","povrsina"
"1","Russia",3969100
"2","Ukraine",603628
"3","France",551695
"4","Spain",498511
"5","Sweden",450295
"6","Norway",385178
"7","Germany ",357386
"8","Finland",338145
"9","Poland",312685
"10","Italy",301338
"11","United Kingdom",242495
"12","Romania",238397
"13","Belarus",207600
"14","Kazakhstan",148000
"15","Greece",131940
"16","Bulgaria",110994
"17","Iceland",102775
"18","Hungary",93030
"19","Portugal",91568
"20","Austria",83858
"21","Czechia",78866
"22","Serbia",77453
"23","Ireland",70273
"24","Lithuania",65300
"25","Latvia",64589
"26","Croatia",56594
"27","Bosnia and Herzegovina",51129
"28","Slovakia",49036
"29","Estonia",45339
"30","Denmark",44493
"31","Switzerland",41290
"32","Netherlands",41198
"33","Moldova",33846
"34","Belgium",30510
"35","Armenia",29743
"36","Albania",28748
"37","North Macedonia",25713
"38","Turkey",23764
"39","Slovenia",20273
"40","Montenegro",13812
"41","Kosovo ",10887
"42","Azerbaijan",6960
"43","Cyprus",5896
"44","Luxembourg",2586
"45","Georgia",2428
"46","Andorra",468
"47","Malta",316
"48","Liechtenstein",160
"49","San Marino",61
"50","Monaco",2
"51","Vatican City",0.44
